Date,Open,High,Low,Close,Adj Close,Volume
2005-12-20,125.86,126.59,125.48,125.83,94.24,46603200
2005-12-21,126.22,126.76,125.8,126.03,94.39,51806900
2005-12-22,126.31,126.69,126.08,126.69,94.88,32247900
2005-12-23,126.78,126.86,126.42,126.76,94.93,27977300
2005-12-27,126.96,127.05,125.38,125.47,93.97,44499500
2005-12-28,125.74,125.99,125.5,125.75,94.18,30764300
2005-12-29,125.72,125.96,125.06,125.19,93.76,32788900
2005-12-30,124.8,125.06,124.36,124.51,93.25,44645600
2006-01-03,125.19,127.0,124.39,126.7,94.89,73256700
2006-01-04,126.86,127.49,126.7,127.3,95.34,51899600
2006-01-05,127.15,127.59,126.88,127.38,95.4,47307500
2006-01-06,128.02,128.58,127.36,128.44,96.19,62885900
2006-01-09,128.42,129.06,128.38,128.77,96.44,43527400
2006-01-10,128.39,128.98,128.26,128.9,96.54,44960800
2006-01-11,129.02,129.44,128.73,129.31,96.84,49598900
2006-01-12,129.08,129.28,128.44,128.8,96.46,40509200
2006-01-13,128.57,128.9,128.2,128.68,96.37,44856700
2006-01-17,128.2,128.42,127.81,128.33,96.11,52066600
2006-01-18,127.58,128.9,127.16,127.82,95.73,75067600
2006-01-19,128.13,128.77,127.81,128.31,96.09,81530400
2006-01-20,128.28,128.31,125.97,125.97,94.34,114957800
2006-01-23,126.21,126.82,126.13,126.42,94.68,67017400
2006-01-24,126.63,127.15,126.42,126.55,94.78,53008800
2006-01-25,127.04,127.18,125.84,126.66,94.86,87747700
2006-01-26,127.25,127.67,126.76,127.36,95.38,71294000
2006-01-27,127.66,128.66,127.45,128.54,96.27,65771200
2006-01-30,128.44,128.81,128.35,128.44,96.19,33709600
2006-01-31,128.32,128.54,127.49,127.5,95.49,72937000
2006-02-01,127.82,128.43,127.72,128.39,96.15,63561000
2006-02-02,128.1,128.14,126.8,126.9,95.04,83626900
2006-02-03,126.58,128.39,126.14,126.27,94.57,86040400
2006-02-06,126.44,126.8,126.17,126.6,94.81,45511900
2006-02-07,126.38,126.66,125.4,125.48,93.97,71208100
2006-02-08,125.85,128.1,125.6,126.62,94.83,59422200
2006-02-09,126.92,127.6,126.37,126.41,94.67,62023300
2006-02-10,126.43,127.13,125.45,126.64,94.84,64508700
2006-02-13,126.6,126.79,125.95,126.41,94.67,52308700
2006-02-14,126.46,128.03,126.21,127.75,95.67,90964400
2006-02-15,127.68,128.32,127.24,128.2,96.01,85471300
2006-02-16,128.34,129.21,128.18,129.16,96.73,61017900
2006-02-17,129.05,129.16,128.58,128.81,96.47,40342600
2006-02-21,129.11,129.4,128.29,128.49,96.23,46456300
2006-02-22,128.77,129.65,128.65,129.27,96.81,42326700
2006-02-23,129.27,129.64,128.28,129.08,96.67,43423200
2006-02-24,129.11,129.48,128.76,129.41,96.92,36777400
2006-02-27,129.4,130.04,129.28,129.46,96.96,35858600
